model,precision,recall,f1
CNN,0.2660406885758998,0.3333333333333333,0.2959094865100087
DeepMLP,0.8320195951829237,0.8482359667709279,0.8353777401122279
MLP,0.8553473410322212,0.8531911792733102,0.8501090775741748
