precision,recall,f1,model
0.8036617056461138,0.8327161739481385,0.8171975929455128,MLP
0.8087537247028945,0.8197838540790817,0.8128313334027452,MLP
0.8114374364735463,0.8197838540790817,0.8144295586146618,MLP
0.7870865224850915,0.817359499545959,0.7982465378880809,MLP
0.8211417236201718,0.8275703763495107,0.8210579587658628,MLP
0.804919204919205,0.8149917599973094,0.8075796354988855,MLP
0.8011310711909515,0.8179329364678977,0.8085165292066372,MLP
0.8553473410322212,0.8531911792733102,0.8501090775741748,MLP
0.8061078909545015,0.7989018935189857,0.8014700149065473,MLP
0.7962301587301587,0.7961238354690074,0.7947250918660039,MLP
0.8250003899000297,0.8419466585948273,0.8329675129675129,MLP
0.8143325992140605,0.8323624704312828,0.8212404214559387,MLP
0.7904370985239089,0.8082388816018117,0.7941852941393787,DeepMLP
0.79304361298319,0.8067416675074833,0.7968968452436082,DeepMLP
0.7937242387980321,0.8183398917028217,0.8013175301498352,DeepMLP
0.7875444542685922,0.8125674054641868,0.7934371412401973,DeepMLP
0.8210120707094045,0.8419466585948273,0.8310809588421528,DeepMLP
0.8112461847092994,0.83138207827442,0.8200034891205612,DeepMLP
0.8320195951829237,0.8368008609961995,0.8314128567954944,DeepMLP
0.8236913596741607,0.8482359667709279,0.8353777401122279,DeepMLP
0.7550002644718498,0.7786432583324926,0.7661179350540864,DeepMLP
0.8066159381424868,0.805708023632552,0.8060219276714123,DeepMLP
0.7981481481481482,0.840856399735423,0.8180328318647879,DeepMLP
0.8001937522538216,0.7777194811601026,0.7883492645226394,DeepMLP
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
0.2660406885758998,0.3333333333333333,0.2959094865100087,CNN
