model,accuracy,precision,recall,f1
CNN,0.7981220657276995,0.26604068857589985,0.3333333333333333,0.2959094865100087
DeepMLP,0.9131455399061033,0.8432539682539683,0.844314398143477,0.8313473440794397
MLP,0.9225352112676056,0.8461434712390069,0.8631823226717789,0.8427829538079626
